ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
257680_at	0.807007	5.87E-01	-0.54935089	-6.117873	-0.13409073	PYRB	aspartate carbamoyltransferase
249482_at	0.8070598	5.87E-01	0.54924161	-6.117932	-0.13411628	AT5G38980	hypothetical protein
250962_at	0.8070954	5.87E-01	0.54915087	-6.117981	-0.13412455	AT5G02990	putative F-box/kelch-repeat protein
265126_s_at	0.8072624	5.88E-01	-0.54891889	-6.118107	-0.13427382	EDA11///AT1G55380	cysteine/histidine-rich C1 domain-containing protein///cysteine/histidine-rich C1 domain-containing protein
254749_at	0.8073101	5.88E-01	0.54879015	-6.118177	-0.13427403	AT4G13130	cysteine/histidine-rich C1 domain-containing protein
267634_at	0.8073101	5.88E-01	-0.54873145	-6.118209	-0.13436568	AT2G42100	Actin-like ATPase superfamily protein
260558_at	0.8073101	5.88E-01	0.54871019	-6.118221	-0.13439516	AT2G43600	chitinase family protein
264174_s_at	0.8073336	5.88E-01	-0.54861548	-6.118272	-0.13446884	NAC004	NAC domain-containing protein 4
249844_at	0.8073336	5.88E-01	0.54854663	-6.118309	-0.13448133	AT5G23590	DNAJ heat shock N-terminal domain-containing protein
266271_at	0.8073336	5.88E-01	0.54852749	-6.11832	-0.13449609	GSTU6	glutathione S-transferase tau 6
263844_at	0.8073344	5.88E-01	-0.5483706	-6.118405	-0.13455789	AT2G36930	C2H2-type zinc finger-containing protein
256919_at	0.8073344	5.88E-01	0.54834047	-6.118421	-0.13457703	MEF20	mitochondrial editing factor 20
259593_at	0.8073344	5.88E-01	0.54832352	-6.11843	-0.13460064	NTF2B	nuclear transport factor 2B
263808_at	0.8073344	5.88E-01	-0.54831683	-6.118434	-0.13468358	AT2G04340	hypothetical protein
257127_at	0.807341	5.88E-01	0.54825106	-6.11847	-0.13468525	TTN9	protein TITAN9
252991_at	0.807341	5.88E-01	-0.54820476	-6.118495	-0.13470157	AT4G38470	ACT-like protein tyrosine kinase family protein
255724_at	0.8073863	5.88E-01	0.54810354	-6.11855	-0.13471469	BRCA2(IV)	breast cancer protein 2 like 2A
256521_at	0.8074668	5.88E-01	0.54796451	-6.118625	-0.13480726	AT1G66120	butyrate--CoA ligase AAE11
258069_at	0.8075053	5.88E-01	-0.5478707	-6.118676	-0.13483476	AT3G26010	Galactose oxidase/kelch repeat superfamily protein
261609_at	0.807604	5.88E-01	0.5477121	-6.118762	-0.13485467	AT1G49740	PI-PLC X domain-containing protein
253805_at	0.8077099	5.88E-01	0.54753775	-6.118856	-0.13487701	AT4G28260	hypothetical protein
267521_at	0.8077099	5.89E-01	-0.54746663	-6.118895	-0.13487835	AT2G30480	hypothetical protein
267640_at	0.8077099	5.89E-01	0.54744081	-6.118909	-0.13490365	COP1	E3 ubiquitin-protein ligase COP1
259617_at	0.807787	5.89E-01	0.54730542	-6.118982	-0.1349543	AT1G47970	hypothetical protein
263694_at	0.8078733	5.89E-01	-0.54716018	-6.11906	-0.13503177	AT1G31210	pseudo
254344_at	0.807887	5.89E-01	0.54709299	-6.119097	-0.13506407	AT4G22110	GroES-like zinc-binding dehydrogenase family protein
264152_at	0.8079478	5.89E-01	0.54694264	-6.119178	-0.13526873	MAGO	protein mago nashi
264732_at	0.8079478	5.89E-01	-0.54692263	-6.119189	-0.13528799	AT1G62160	serine protease inhibitor (SERPIN)-like protein
258958_at	0.8080091	5.89E-01	0.54677199	-6.11927	-0.13532813	VMA10	V-type proton ATPase subunit G1
266048_at	0.8080091	5.89E-01	0.54675185	-6.119281	-0.13537567	CXXS2	thioredoxin-like protein CXXS2
258427_at	0.808238	5.89E-01	0.54641222	-6.119465	-0.13547011	AT3G16600	SNF2 and helicase domain-containing protein
256382_at	0.808238	5.89E-01	-0.54640066	-6.119471	-0.13548584	AT1G66860	class I glutamine amidotransferase-like domain-containing protein
267103_at	0.8082969	5.89E-01	-0.54625085	-6.119552	-0.13552053	GPT	UDP-GlcNAc:dolichol phosphate N-acetylglucosamine-1-phosphate transferase
245533_at	0.8082969	5.89E-01	-0.54619409	-6.119583	-0.13552119	CCT2	phosphorylcholine cytidylyltransferase2
264113_at	0.8082969	5.89E-01	0.54617994	-6.11959	-0.13555651	APG9	protein autophagy 9
248951_at	0.8083515	5.89E-01	-0.54606527	-6.119652	-0.13562157	AT5G45550	maintenance of ploidy protein MOB1
248439_at	0.8083515	5.89E-01	0.54601637	-6.119679	-0.13569497	AT5G51250	F-box/kelch-repeat protein
265928_at	0.808368	5.90E-01	0.54590895	-6.119737	-0.13571951	AT2G18580	pseudo
246388_at	0.808368	5.90E-01	-0.54583109	-6.119779	-0.13575492	AT1G77405	pentatricopeptide repeat-containing protein
257940_at	0.808368	5.90E-01	-0.54580197	-6.119794	-0.13578243	AT3G21790	UDP-glycosyltransferase 71B7
266156_at	0.808368	5.90E-01	-0.54578881	-6.119802	-0.13580693	FRA8	probable glucuronoxylan glucuronosyltransferase IRX7
248750_at	0.8084599	5.90E-01	0.54562165	-6.119892	-0.13583117	AT5G47530	putative auxin-responsive protein
247981_at	0.8084599	5.90E-01	0.54554654	-6.119932	-0.13583555	MIOX5	myo-inositol oxygenase 5
262380_at	0.8084599	5.90E-01	0.54548077	-6.119968	-0.13592707	AT1G72810	threonine synthase 2
263631_at	0.8084599	5.90E-01	0.54539454	-6.120014	-0.13599697	AT2G04900	hypothetical protein
265808_at	0.8084599	5.90E-01	-0.54538489	-6.12002	-0.13606006	AT2G17960	hypothetical protein
264067_x_at	0.8084599	5.90E-01	-0.54537526	-6.120025	-0.13631085	AT2G28010	aspartyl protease-like protein
260809_at	0.8084931	5.90E-01	0.54528706	-6.120072	-0.13632035	AT1G43730	RNA-directed DNA polymerase (reverse transcriptase)-related family protein
261886_s_at	0.8085134	5.90E-01	0.54521279	-6.120112	-0.13633519	AT1G80980///AT1G80700	hypothetical protein///hypothetical protein
246808_at	0.8086232	5.90E-01	-0.54498455	-6.120235	-0.13634229	AT5G27110	pentatricopeptide repeat-containing protein
251339_at	0.8086232	5.90E-01	0.54495489	-6.120251	-0.13636003	AT3G60780	hypothetical protein
247402_at	0.8086232	5.90E-01	-0.54492503	-6.120267	-0.13657022	AT5G62750	hypothetical protein
256370_at	0.8086232	5.90E-01	0.54486696	-6.120299	-0.13669174	AT1G66780	MATE efflux family protein
263453_at	0.8086232	5.90E-01	0.54476109	-6.120356	-0.13677283	AT2G22180	hydroxyproline-rich glycoprotein-like protein
265968_at	0.8086232	5.90E-01	-0.54475874	-6.120357	-0.1368027	TIM17-2	mitochondrial import inner membrane translocase subunit Tim17-2
263991_at	0.8086232	5.90E-01	0.54472759	-6.120374	-0.13681261	AT2G13020	pseudo
254214_at	0.8086811	5.90E-01	-0.54454176	-6.120474	-0.13682866	TRH1	potassium transporter
265147_at	0.8086811	5.91E-01	-0.54451492	-6.120488	-0.1368619	AT1G51380	DEAD-box ATP-dependent RNA helicase 34
256571_at	0.8086811	5.91E-01	0.54448894	-6.120502	-0.13690967	AT3G30730	hypothetical protein
261204_s_at	0.8086811	5.91E-01	0.54445548	-6.12052	-0.13703541	ERF1-2///ERF1-3	eukaryotic peptide chain release factor subunit 1-2///peptide chain release factor eRF subunit 1
257306_at	0.8086998	5.91E-01	-0.54437841	-6.120562	-0.13712519	AT3G30200	plant transposase (Ptta/En/Spm family)
260770_at	0.8086998	5.91E-01	0.54433051	-6.120588	-0.13713281	AT1G49200	RING-H2 finger protein ATL75
252195_at	0.808707	5.91E-01	0.54410513	-6.120709	-0.13713552	AT3G50190	hypothetical protein
256534_at	0.808707	5.91E-01	0.54408874	-6.120718	-0.13722097	AT1G33270	patatin-like phospholipase domain-containing protein
261510_at	0.808707	5.91E-01	0.54408294	-6.120721	-0.13724086	AT1G71760	hypothetical protein
251568_at	0.808707	5.91E-01	0.54403186	-6.120748	-0.13726425	AT3G58280	phospholipase-like protein (PEARLI 4) with TRAF-like domain
266723_at	0.808707	5.91E-01	-0.54397927	-6.120777	-0.13728513	SK16	SKP1-like protein 16
249721_at	0.808707	5.91E-01	-0.54396148	-6.120786	-0.13739638	LSU4	protein RESPONSE TO LOW SULFUR 4
